"reward","event_id","action","action_prob","model_id","observation","sample_prob"
"0","210332942831081649749614124574650269698","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.33376689898933054"
"1","210339685939993238790480684044266897410","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.283714680667815"
"1","210341388553205670331095569303759618050","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.750393179799675"
"1","210342494578354369461248375177306308610","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.38269048866069777"
"1","210344539457228862623801664546664480770","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.19443027639246124"
"0","210346610481396985493586359785526263810","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.3624499731029467"
"0","210348731419307492349903738957076758530","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.4898879142011556"
"1","210349785153868932065593733091616227330","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.4243732847814182"
"0","210350860280034250633004469404096921602","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.486679638670784"
"1","210353153143057413439597540717114818562","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.5229220489717672"
"1","210356834875769451306702398553391759362","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.724911784462917"
"0","210358848855660563906164026440609300482","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.41647501176657264"
"0","210360092737812037856264245080629575682","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.10118341343873649"
"0","210361089428096467301631171863524802562","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.08483404528374372"
"0","210362074234156519607347459614827479042","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.6905905795764514"
"1","210364050976811250502570418536388362242","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.37057291617102706"
"1","210366977665134527427201124049913774082","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.2781158963180529"
"0","210367952963815078021196900575942410242","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.26572298982506226"
"0","210368924301087502901975797424773529602","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.021327735774251733"
"0","210369900392049678638614949886241669122","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.003234292908109837"
"1","210370889159517856657548117314741862402","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.7727411823619256"
"0","210371860496790281538327014163572981762","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.7103543798701699"
"0","210376744120727660792096280212671692802","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.32185915182908265"
"0","210377715458000085672875177061502812162","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.7472197215746166"
"0","210378686795272510553654073910333931522","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.646520253229392"
"0","210379666055361186860866730113560084482","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.3715802391836919"
"0","210380652445984489451869769735741767682","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.5723305179980038"
"1","210381634082918041187012553745286430722","1","0.9995","bandits-1597537747-model-id-1597537762","[]","0.20366818748696247"
